[Tue Sep 29 07:29:38 2020] The car ordered by you is installed gasoline engine (client name: Yuriy, you personal manager: Anton )
[Tue Sep 29 07:29:38 2020] The car ordered by you is installed 2.5 engine (client name: Yuriy, you personal manager: Anton )
[Tue Sep 29 07:29:38 2020] The car ordered by you is installed red color (client name: Yuriy, you personal manager: Anton )
[Tue Sep 29 07:29:38 2020] The car ordered by you is installed skin interior material (client name: Yuriy, you personal manager: Anton )
[Tue Sep 29 07:29:38 2020] The car ordered by you is installed white interior color (client name: Yuriy, you personal manager: Anton )
[Tue Sep 29 07:29:38 2020] The car ordered by you is installed automatic transmission type (client name: Yuriy, you personal manager: Anton )
[Tue Sep 29 07:29:38 2020] The car ordered by you is installed business equipment car (client name: Yuriy, you personal manager: Anton )
[Tue Sep 29 09:45:37 2020] The car ordered by you is installed gasoline engine (client name: Yuriy, you personal manager: Anton )
[Tue Sep 29 09:45:37 2020] The car ordered by you is installed 2.5 engine (client name: Yuriy, you personal manager: Anton )
[Tue Sep 29 09:45:37 2020] The car ordered by you is installed red color (client name: Yuriy, you personal manager: Anton )
[Tue Sep 29 09:45:37 2020] The car ordered by you is installed skin interior material (client name: Yuriy, you personal manager: Anton )
[Tue Sep 29 09:45:37 2020] The car ordered by you is installed white interior color (client name: Yuriy, you personal manager: Anton )
[Tue Sep 29 09:45:37 2020] The car ordered by you is installed automatic transmission type (client name: Yuriy, you personal manager: Anton )
[Tue Sep 29 09:45:37 2020] The car ordered by you is installed business equipment car (client name: Yuriy, you personal manager: Anton )
